sex,year,n,lon,lat
Hane,2015,6,593260,7047295
Hane,2020,10,607638.25,7047338.916666667
Hona,2015,12,636598.5714285715,7060037.642857143
Hona,2020,4,633497.5,7061959
Hona,2015,2,665361.5,7055602
Hane,2015,1,632656,7009460
Hona,2015,2,614774,7056175
Hona,2020,7,605754.8181818182,7052912.363636363
Hona,2015,6,652752.5,7052969.75
Hona,2020,2,649453.6666666666,7058039
Hane,2015,2,598784,7013922.5
Hane,2015,7,666955.6666666666,7032235.888888889
Hane,2015,8,606864.3,7024652.3
Hane,2015,15,624437,7020100.666666667
Hane,2020,7,632470,7015954
Hona,2015,1,666517.5,7074101
Hona,2020,1,661748,7079695
Hona,2015,5,628742.1,7017920.3
Hona,2015,4,489635.8333333333,6932070
Hona,2015,2,597818,6946780.5
Hane,2015,5,622574,7025500.4
Hane,2015,2,646822,7060742
Hona,2015,2,688408.5,7033860
Hona,2020,1,698022,7035524
Hona,2015,2,641753.5,7045289
Hona,2020,4,638317.5,7047456.75
Hane,2015,2,597622,7024479
Hane,2015,4,584047.1666666666,7009076.5
Hane,2020,4,573528.8,7013082.8
Hona,2015,2,606410.5,7017430
Hona,2020,4,602879.5,7017323.5
Hane,2015,5,556836.6,6965427.2
Hona,2015,3,663390.6666666666,7079018
Hona,2020,9,658940.0909090909,7075739.2727272725
Hane,2015,3,592267,7040212.4
Hona,2015,2,657912,7079286.5
Hona,2015,5,584673.6,7006854
Hona,2020,9,586028.4166666666,7009491.5
Hane,2015,13,682719.375,7063942.125
Hona,2015,1,625203.3333333334,7018203
Hona,2020,4,617825.9,7014377.7
Hona,2015,2,522159,6943197.5
Hona,2020,1,521997,6937333
Hane,2015,3,509411.25,6932174.75
Hane,2015,9,658653.8,7072019
Hona,2015,2,675710,7078083.666666667
Hona,2019,4,682861.25,7085772
Hane,2015,4,617855.3333333334,7020876.166666667
Hane,2019,2,710034,7092743
Hane,2015,4,576228.6,7018660.6
Hane,2015,2,609812,7059760.333333333
Hona,2015,5,636548.875,7053538.625
Hona,2015,9,604281.0909090909,6967366.909090909
Hane,2015,3,559431,7035878.666666667
Hona,2015,2,679606.5,7072665.5
Hona,2020,9,679637.2307692308,7063192.538461538
Hona,2015,1,515350,7115778
Hane,2015,1,479365,6891555
Hane,2015,1,500058,7183977
Hona,2015,1,469076,7148110
Hane,2015,1,529769,7109478
Hona,2015,1,498316,7098385
Hona,2015,1,476504,6865790
Hane,2015,1,536440,7092867
Hane,2015,1,496558,7125407
Hane,2015,1,404270,6927845
Hona,2015,1,413387,6887039
Hane,2015,1,478284,7115089
Hona,2015,1,502724,6894731
Hona,2015,1,520560,7104973
Hona,2015,1,517805,6894141
Hona,2017,2,520140.5,6883001
Hona,2020,1,515582,6887817
Hane,2015,1,545208,7061575
Hane,2015,1,420649,6905149
Hane,2015,1,514212,6982643
Hona,2015,1,504867,6895325
Hona,2015,1,471918,7134042
Hane,2015,1,528961,7050919
Hane,2017,1,404540.6666666667,6817862.333333333
Hona,2015,1,439467,6858066
Hona,2020,1,437007,6845177
Hane,2015,1,436027,6864672
Hane,2020,4,401397.6,6932394.4
Hane,2015,1,504333,6880713
Hona,2015,1,459892,6887179
Hona,2020,3,463434,6891561.333333333
Hane,2015,1,519909,7113493
Hona,2015,1,538062,7108429
Hane,2015,1,431057,6878908
Hane,2017,1,488811,6858130
Hane,2015,1,458864,6883326
Hane,2017,2,444681,6726204
Hona,2015,1,459997,6864040
Hona,2020,1,462941,6871242
Hane,2015,1,504487,6871331
Hane,2015,1,471509,6831349
Hane,2017,1,455844,6808653
Hane,2015,1,555563,7022571
Hane,2015,1,513470,7132733
Hane,2020,3,499028,7118470
Hona,2015,1,503290,6863241
Hona,2017,3,510038.2,6860880.2
Hona,2015,1,475275,6932221
Hona,2015,1,447806,6854398
Hona,2017,1,424565,6832636
Hona,2015,1,479513,6872137
Hane,2015,1,476836,7137139
Hane,2015,1,476875,7137364
Hona,2015,1,522070,7103754
Hona,2015,1,411182,6933627
Hona,2015,1,519641,7117965
Hona,2020,1,522847,7118633
Hona,2015,1,490968,6851512
Hona,2017,1,491573,6852528
Hona,2015,1,562478,6959970
Hona,2015,1,498157,7132023
Hane,2015,1,468938,6871888
Hane,2015,1,528916,7104760
Hane,2020,2,575329.5,7023456.5
Hona,2015,1,530524,7136640
Hona,2020,4,527769,7141414.4
Hona,2015,1,474605,6849134
Hona,2017,2,490205.5,6839737
Hona,2015,1,504822,6863908
Hona,2017,1,507151,6852725
Hane,2015,1,494155,7126271
Hona,2019,2,605200,7108541.333333333
Hona,2015,1,561713,7086135
Hona,2020,1,554356,7096908
Hane,2015,1,487477,6931931
Hane,2015,1,515492,7160695
Hona,2015,1,508728,7135384
Hona,2015,1,509016,7097640
Hona,2015,1,560140,7085642
Hane,2015,1,375910,6921672
Hane,2020,6,396629.8333333333,6919183.5
Hona,2015,1,529580,7119595
Hane,2015,1,560096,6965095
Hane,2015,1,525556,7057279
Hane,2017,8,563992,6871416.222222222
Hona,2015,1,491508,6911438
Hona,2015,1,515882,7087765
Hane,2015,1,503514,7134985
Hona,2020,1,491157,7141618
Hona,2015,1,464131,7056396
Hona,2015,1,493537,7136396
Hane,2015,1,529564,7119600
Hona,2015,1,502600,6890900
Hane,2015,1,540211,7088757
Hona,2015,1,505353,7148272
Hona,2015,1,500630,7054618
Hona,2020,2,502993,7058556
Hona,2015,1,497515,7137920
Hona,2020,1,490644,7141729
Hona,2015,1,494336,7145760
Hona,2015,1,580804,7102870
Hane,2015,1,540332,7135989
Hane,2020,5,529104.2857142857,7029094.714285715
Hona,2015,1,517402,7048242
Hane,2015,1,507091,7091812
Hane,2015,1,414906,6897503
Hane,2020,1,469531,6888430
Hona,2015,1,398725,6923736
Hona,2015,1,486463,6861100
Hona,2020,2,486859,6863058.5
Hane,2015,1,442702,6861488
Hona,2015,1,372680,6904554
Hane,2015,1,411553,6877237
Hane,2015,1,451601,7085382
Hane,2015,1,485649,6861260
Hane,2015,1,468885,6835226
Hane,2015,1,430188,6848353
Hane,2020,2,405764.5,6938116.5
Hona,2015,1,530330,7144631
Hane,2015,1,496937,7109589
Hona,2015,1,469964,7093010
Hona,2015,1,502945,7123908
Hona,2020,1,503671,7115375
Hane,2015,1,567851,7093127
Hane,2015,1,460674,6940492
Hane,2017,3,522577.6666666667,6744559.666666667
Hane,2015,1,473628,6846799
Hane,2017,1,493668,6799008
Hona,2015,1,504911,6864368
Hane,2015,1,470642,6833902
Hane,2015,1,509755,6888522
Hona,2015,1,422864,6868151
Hane,2015,1,486482,6945760
Hona,2015,1,517792,7137674
Hona,2020,2,517357,7143177
Hona,2015,1,422751,6891331
Hona,2020,1,518539,7089953
Hane,2015,1,423276,6868751
Hona,2015,1,445266,6880513
Hona,2020,2,451206,6870489
Hona,2015,1,440208,6917360
Hona,2020,1,412032,6879309
Hona,2015,1,411285,6925387
Hane,2015,1,568492,7111181
Hona,2015,1,514283,7153789
Hona,2019,1,538196,7208767
Hane,2015,1,508709,7123686
Hane,2015,1,458204,6887845
Hane,2017,1,530553,6922617
Hane,2015,1,488311,7082452
Hane,2020,8,495098.3333333333,6933910.916666667
Hona,2015,1,548330,7081106
Hane,2017,1,609521,6865500
Hane,2020,2,517828.5,7025713
Hona,2015,1,446250,6901131
Hona,2015,1,539244,7092811
Hona,2020,1,543165,7094786
Hona,2015,1,530409,7106559
Hane,2015,1,463296,6936674
Hane,2015,1,425758,6900859
Hane,2015,1,574312,6987261
Hane,2015,1,406229,6923952
Hona,2015,1,370748,6926861
Hane,2015,1,451215,7192152
Hane,2015,1,459613,6904397
Hane,2017,1,544952,6904428
Hane,2015,1,575985,7069557
Hane,2020,4,614894.5,7036526.75
Hona,2015,1,467322,6917478
Hona,2020,2,464780,6909509
Hona,2015,1,413124,6962187
Hona,2015,1,515578,7149824
Hona,2020,3,518188.3333333333,7156481.666666667
Hona,2015,1,510653,7155186
Hane,2015,1,507699,7077147
Hona,2015,1,411295,6925390
Hona,2015,1,467520,6830100
Hona,2015,1,430763,6912581
Hona,2020,1,433782,6908670
Hane,2015,1,500478,7125841
Hona,2015,1,498753,7101107
Hona,2015,1,559942,7112974
Hona,2015,1,513236,7160254
Hona,2015,1,450853,6893064
Hona,2015,1,550051,7074978
Hona,2020,1,551164,7069421
Hona,2015,1,435625,6872842
Hona,2020,1,439118,6861348
Hona,2015,1,436859,6859314
Hane,2015,1,477582,7141522
Hona,2015,1,407271,6924996
Hane,2015,1,520107,7091867
Hona,2015,1,498243,7114436
Hane,2015,1,405450,6903556
Hane,2015,1,477300,7140562
Hane,2015,1,452021,6978691
Hane,2016,1,446371,6965995
Hane,2020,8,460922.75,6974299.875
Hane,2015,1,545059,7104014
Hona,2015,1,442541,6904439
Hona,2015,1,522467,6944809
Hane,2015,1,490928,7021456
Hona,2015,1,434335,6909646
Hona,2020,3,428445.25,6912795.5
Hona,2015,1,492871,7128129
Hona,2015,1,380324,6936990
Hane,2015,1,463050,7180797
Hane,2015,1,418568,6887126
Hane,2015,1,462333,6931024
Hane,2015,1,528862,7137503
Hane,2020,3,524209.5,7058253.5
Hona,2015,1,413278,6896447
Hane,2015,1,560054,7116340
Hane,2020,2,546215.5,7132522
Hona,2015,1,509498,7127068
Hona,2020,2,511863,7126981.5
Hane,2015,1,518399,7110429
Hane,2020,7,465357.28571428574,7049402.428571428
Hona,2015,1,513531,7106851
Hona,2015,1,527047,7081168
Hona,2015,1,494811,7166451
Hona,2015,1,573287,7107123
Hane,2015,1,522739,7125764
Hona,2015,1,510746,7095630
Hane,2015,1,559617,7020609
Hona,2015,1,573469,7087937
Hona,2020,2,577304.5,7069285.5
Hona,2015,1,520096,7133443
Hona,2015,1,533636,7091087
Hona,2020,1,535309,7091057
Hona,2015,1,475498,7086370
Hona,2015,1,575217,7086796
Hona,2020,3,590865.6666666666,7074895
Hona,2015,1,503676,7115411
Hane,2015,1,483783,7084832
Hona,2015,1,494691,7192002
Hona,2015,1,539359,7097023
Hona,2020,4,534479.8,7102114.4
Hona,2015,1,559751,7098435
Hane,2015,1,470775,7147745
Hona,2015,1,512816,7146498
Hona,2015,7,426017.75,6885681.083333333
Hona,2020,3,424867.75,6887729
Hona,2015,4,512930,7083961.5
Hona,2015,2,519614.5,7123656.5
Hane,2015,5,521404.6,6969863
Hona,2015,3,531453.3333333334,7111950.666666667
Hona,2015,1,415846.5,6957469.5
Hona,2015,6,462786.1666666667,6956690.666666667
Hane,2015,2,537751,7130189.5
Hona,2015,5,504799.1111111111,7059093
Hona,2020,9,494283.8333333333,7061431.25
Hona,2015,3,480126,7079708
Hona,2015,2,474085,6925661.5
Hona,2020,3,466169.25,6922355.25
Hona,2015,2,550617,7116782
Hona,2019,2,564056,7129136.25
Hona,2020,4,549965.75,7121189.75
Hane,2015,8,500883.77777777775,6967214.444444444
Hane,2015,1,537638,7037013
Hona,2015,1,564044,7096505
Hane,2015,6,435044.14285714284,6888916.571428572
Hane,2015,2,442694.5,6860132
Hane,2020,2,431213.3333333333,6938196
Hane,2015,3,427747.75,6905481
Hane,2015,2,453356.5,7072525
Hona,2015,1,541529.5,7114605
Hona,2020,1,544557,7110480
Hane,2015,7,534498.0909090909,7069934.181818182
Hane,2020,2,537517.6666666666,7103542.666666667
Hona,2015,5,508438.71428571426,6955357
Hane,2015,4,493240.3333333333,6885192.5
Hona,2015,5,392316.4,6913347.2
Hona,2015,5,465297,7033731.111111111
Hona,2015,6,524906.3333333334,7065006.333333333
Hona,2015,5,463671.8333333333,6904735.5
Hane,2015,7,571552.2,7083577.8
Hane,2020,3,581898.25,7074702.25
Hane,2015,6,525771.3,7096015.1
Hona,2015,5,487090.2,7066947.2
Hona,2015,7,438158.5,6881478.3
Hane,2015,3,554193.6666666666,7076239.666666667
Hona,2015,3,562476.5,7086365
Hona,2020,2,563791.5,7093085.5
Hane,2015,3,439025,6860286
Hane,2015,3,534587.3333333334,7120524
Hane,2020,1,509732,7129207
Hona,2015,4,482956.25,7085325.75
Hona,2015,5,549083.8333333334,7110161.166666667
Hona,2015,4,529249.8,7095879.2
Hane,2015,6,528011.1428571428,7093391
Hane,2020,1,539957,7089292
Hane,2015,5,560241.3333333334,7015155.333333333
Hane,2015,7,530524.75,7126501
Hane,2020,7,494903.5,7061801.5
Hona,2015,3,485283,7142168
Hona,2020,3,487606,7143874.5
Hona,2015,5,548395.8888888889,7012064.222222222
Hona,2015,4,565606.5,6976912.25
Hona,2015,4,539116.5,7132619.5
Hona,2015,1,465863.3333333333,6891059.333333333
Hona,2020,8,468579.92307692306,6895378.692307692
Hona,2015,3,465183.6666666667,6947831
Hona,2015,2,426746.5,6896599.5
Hona,2015,2,471426,6832603
Hane,2015,2,529374,7105747.5
Hona,2015,7,408792.14285714284,6974057.857142857
Hona,2015,3,426345.6666666667,6883647
Hona,2020,1,428237,6878985
Hona,2015,4,497750.25,6950461.25
Hona,2015,2,567804.5,7108177.5
Hona,2015,5,505897.1666666667,7060264
Hane,2015,9,555254.5454545454,7062548.545454546
Hane,2015,5,489530.5714285714,6957043.857142857
Hane,2020,1,494279,6952437
Hane,2015,14,596588.2941176471,6980027.588235294
Hane,2015,3,547118.6666666666,6983339
Hane,2017,3,580645,6831767.666666667
Hona,2015,3,511328,7116121
Hona,2020,1,492945,7122361
Hane,2015,2,488586,7144108.5
Hane,2016,2,603245,7339739.5
Hane,2015,2,510355.5,7134254
Hane,2015,2,548980,7071577.5
Hona,2015,1,453027,7002563.5
Hane,2015,4,533594.25,7117832
Hona,2015,3,512734.3333333333,7131145.333333333
Hona,2020,2,507556.5,7135635
Hona,2015,3,556974,7091494
Hane,2015,1,429207,6895485
Hona,2015,6,425636.25,6894783.375
Hona,2020,6,423897.44444444444,6891601.888888889
Hane,2015,2,402777,6957961
Hane,2015,2,551379.5,6963449
Hane,2020,5,548591.1666666666,6974969.833333333
Hona,2015,4,528169.25,7012373.75
Hona,2020,3,544674.6666666666,7007239.333333333
Hane,2015,2,403692.25,6929302.25
Hona,2015,4,429403,6880932
Hona,2020,2,435210,6883420.5
Hona,2015,5,495391.125,7077608
Hona,2015,4,558269.8,7019292.2
Hona,2020,5,562111.1666666666,7045687.333333333
Hane,2015,9,529981.3636363636,7056643.909090909
Hona,2015,8,551119.4545454546,7018440.545454546
Hona,2015,4,535527.5,7124346.166666667
Hona,2015,3,413636.6666666667,6927788
Hona,2015,3,415568,6881898.333333333
Hane,2015,3,427703,6897111.333333333
Hane,2017,2,388982.5,6856614
Hona,2015,4,512801,7149098.75
Hona,2019,4,608827.5,7161731
Hona,2020,1,512697,7154772
Hona,2015,2,486856,7087225.5
Hane,2015,1,476151.5,6865082.5
Hona,2015,3,545944,7113028.75
Hona,2015,2,542868,7022508.5
Hona,2020,5,533213.875,7019235.25
Hona,2015,3,510131.6666666667,7118341.333333333
Hane,2015,3,493503,7139722.333333333
Hona,2015,1,511066.3333333333,6913206.666666667
Hona,2020,1,499247.1666666667,6909153
Hona,2015,1,509949.6666666667,7122778.333333333
Hona,2020,2,508116,7128211.5
Hona,2015,1,507976.75,7091871.5
Hona,2015,2,405172,6922293
Hona,2015,8,536877.7777777778,7069252.888888889
Hona,2020,2,534718.3333333334,7064829.333333333
Hona,2015,2,410658.5,6877809
Hona,2017,1,405358,6856231
Hona,2015,3,435411,6890095.333333333
Hane,2015,4,456461.2,6859295.6
Hona,2015,3,510048.6923076923,7118765.076923077
Hane,2015,3,470653,7062829
Hona,2015,3,549466.3333333334,7107996
Hane,2015,5,538344.4444444445,7013312.666666667
Hane,2015,7,534772.2,7015841.5
Hane,2015,3,477911,6934571
Hane,2015,3,444897,6941043.333333333
Hona,2015,2,486695,7053423.5
Hona,2015,1,507451,7129869.5
Hona,2020,2,503321.25,7133977.75
Hona,2015,3,451902,6989450
Hona,2015,11,523108.8461538461,7014130.153846154
Hona,2015,2,455136.3333333333,7179612.666666667
Hona,2015,2,403135,6902609
Hane,2015,6,563140.4285714285,6954888.857142857
Hona,2015,5,479180.6666666667,7078415.5
Hona,2020,1,470732,7089385
Hona,2015,12,511966.0588235294,7021869.764705882
Hona,2020,6,516637,7016514.2
Hona,2015,4,530194,7137138
Hane,2015,7,573143.8571428572,6966369.714285715
Hane,2015,8,436722.55555555556,6931377.555555556
Hona,2015,3,438980.6666666667,6926663
Hane,2015,21,524794.5,6992176.818181818
Hane,2015,3,474960.6666666667,7067002
Hona,2015,4,540623.8333333334,7067251.5
Hane,2015,5,497124.8333333333,6958448.333333333
Hane,2020,11,521600.85714285716,6940512.357142857
Hona,2015,5,531191,7086759.625
Hona,2015,3,532813.25,7125521.5
Hane,2015,1,398523,6915519
Hane,2015,12,548442.6666666666,7062543.388888889
Hane,2020,1,555678,7063975
Hane,2015,6,452267.73333333334,6903506
Hane,2015,6,510076.77777777775,6956092.666666667
Hona,2015,2,485546.6666666667,6923863.666666667
Hona,2015,4,487764.28571428574,6981790.714285715
Hona,2020,2,483710.5,6993539.5
Hona,2015,2,452803,6838966
Hona,2015,2,434321.8,6892503.8
Hona,2020,4,435164.25,6895453
Hona,2015,2,570851,7090780
Hona,2015,2,536095,7102747.5
Hona,2020,1,551447,7086920
Hona,2015,2,379686.5,6934965.5
Hona,2015,5,522999.3333333333,7102340.333333333
Hona,2015,2,540629.75,7067993.75
Hona,2020,1,535496.5,7059445.5
Hona,2015,2,499572,7132869
Hane,2015,3,415865.3333333333,6953576
Hane,2015,7,554775.4285714285,7016047.571428572
Hane,2017,1,518848,6905392
Hane,2015,9,545973.8181818182,7022652.909090909
Hona,2015,3,478191,6935969
Hona,2015,7,500889.75,6898635.75
Hane,2015,6,517049.85714285716,7077313.428571428
Hane,2020,1,522624,7073506
Hona,2015,2,484606,6873765.5
Hona,2020,4,497814.5,6880713.75
Hona,2015,2,434783.5,6911140
Hona,2015,9,546674.1818181818,7067111.909090909
Hona,2015,2,532282.5,7118944.5
Hona,2015,2,478310,7145499.5
Hane,2015,4,538347.6666666666,7034971.333333333
Hane,2019,2,660852.5,7211435
Hona,2015,9,525523.1428571428,7029410.714285715
Hona,2020,4,523813.75,7030615.75
Hane,2015,2,421881,7010978.5
Hane,2020,2,436126.5,6859337.5
Hane,2015,9,545373.0833333334,7043653.916666667
Hane,2015,5,526429.4,7063106.4
Hane,2015,14,579817.8125,6970893.0625
Hona,2015,3,521288.3333333333,7117420.333333333
Hona,2020,1,521433,7119946
Hane,2015,2,398558,6971530.5
Hane,2015,3,558599.6666666666,7011399.333333333
Hona,2015,2,511085.85714285716,7118801.142857143
Hona,2020,2,512438,7112704
Hane,2015,1,500968,6887018
Hane,2015,2,508380.3333333333,7119261.333333333
Hona,2015,2,497170,7125066.5
Hona,2020,1,490011,7127284
Hona,2015,1,546785,7049658
Hona,2015,1,494607.5,6912507
Hona,2020,1,490892,6913298.8
Hane,2015,3,523383.3333333333,7120914.333333333
Hona,2015,4,489637.5,7172215
Hona,2015,2,435249,6901431
Hona,2015,5,537280.75,7077304.75
Hona,2020,2,539018.6666666666,7072499.666666667
Hane,2015,3,430846.5,7042954.5
Hane,2015,2,510422,7111434.5
Hona,2015,5,497120.5,7075282.833333333
Hona,2020,2,494890.3333333333,7073694.666666667
Hona,2015,6,559054.3333333334,7011799.222222222
Hona,2020,2,566318.6666666666,7012408
Hona,2015,2,515788,7133188
Hona,2020,2,513049.75,7134683.5
Hane,2015,1,532233,7131287.5
Hane,2019,2,623009,7135258
Hona,2015,2,479628,6881293.5
Hane,2015,5,487581.8,6910256.8
Hona,2015,3,558061,7010267
Hona,2020,2,581317,7015062
Hane,2015,10,504044.86666666664,6907355.133333334
Hane,2015,8,438125,7008937.5
Hona,2015,3,399759.3333333333,6940630
Hona,2015,3,421812.6666666667,6924470
Hane,2015,4,470017.25,6910120.25
Hona,2015,5,515435,7079936
Hona,2020,1,517017,7090555
Hane,2015,8,494027.44444444444,6975737.222222222
Hane,2015,2,468973,7048831.75
Hona,2015,10,422427.4666666667,6885426.133333334
Hane,2015,11,438768.5833333333,7069636.666666667
Hona,2015,3,572666.6666666666,7094362.666666667
Hane,2015,11,553939.7333333333,7099780.333333333
Hona,2015,9,545067.6,6973281.3
Hona,2015,1,412338,6951619
Hona,2015,1,504037.5,6880187
Hona,2015,6,557179,7022806
Hona,2020,6,552122.8333333334,7036155.833333333
Hona,2015,2,461125.5,6885804
Hona,2015,3,453401.6666666667,6876131.333333333
Hane,2015,7,529540,6997448.571428572
Hona,2015,2,422850,6890856
Hona,2020,1,419339,6889733
Hane,2015,2,470061,6922870.5
Hane,2020,7,557296.7142857143,6954278.428571428
Hona,2015,5,505747,7041241.2
Hona,2020,13,504799.3125,7024118.875
Hona,2015,4,466271.75,6887704.5
Hona,2020,1,460303,6889453
Hona,2015,4,441524,6877212
Hane,2015,10,477866.35714285716,6947435.071428572
Hane,2015,2,511129.4285714286,7118840.285714285
Hane,2015,6,523976.6666666667,7094429.5
Hona,2015,3,478416.25,6947227.75
Hane,2015,2,406993,7004954
Hona,2015,2,521196.5,7115457
Hona,2020,6,520669.3333333333,7117129.666666667
Hane,2015,3,433458.4,6893022.8
Hane,2020,1,478036,6909932
Hona,2015,2,408877.5,6901969.5
Hona,2020,4,400744.25,6914700
Hona,2015,2,481675,7085201.5
Hona,2015,17,493747.3333333333,6883232.575757576
Hane,2015,1,496184,6945342
Hona,2015,4,399251.4,6961200.8
Hona,2020,5,397621,6965331.4
Hona,2015,11,509853.5294117647,6983706.05882353
Hona,2015,4,539553.4,7058148.4
Hane,2015,1,464483,6972764
Hona,2015,2,525310.5,7059927
Hona,2020,2,525366,7051200.25
Hona,2015,5,501431.4,7092825
Hona,2020,5,500562.4,7100443.2
Hane,2015,3,460878,6917630
Hane,2015,4,445139.5,6903700.25
Hona,2015,2,465381,6888669.5
Hona,2020,2,467502.5,6888171
Hane,2015,4,523279.5,7057731.75
Hane,2020,3,400958,6942974
Hona,2015,3,498876.6666666667,7108685.333333333
Hane,2015,2,476946,6940364.5
Hane,2015,1,412262.5,6882040
Hona,2015,2,490809,7135874.5
Hona,2015,7,461941.55555555556,7155696.777777778
Hona,2015,3,553745,7062202.333333333
Hona,2020,3,552651.75,7057587.75
Hane,2015,9,559548.9,7036104.4
Hona,2015,2,452159,6919930.333333333
Hona,2020,3,450223.6666666667,6919630
Hane,2015,2,467886.6666666667,6886918.333333333
Hona,2015,1,535734,7085215
Hane,2015,2,548877,7112984.5
Hona,2015,4,527797.5,6965435.75
Hona,2020,12,521478.14285714284,6976146.071428572
Hona,2015,4,493893.5,7035453
Hona,2020,7,497476.14285714284,7023254
Hane,2015,2,508060.75,7120201
Hane,2015,7,539911.6923076923,7035491.615384615
Hane,2015,7,518002.6666666667,7021682
Hona,2015,2,411908.5,6884031
Hona,2017,1,414713,6884168
Hona,2015,3,527065.3333333334,7100127
Hona,2020,8,527705.1,7098082
Hona,2015,3,470574,7137228
Hane,2015,3,522152,7126863
Hona,2015,4,466863,6865556
Hane,2015,6,488147.5,7132615.166666667
Hona,2015,9,494180.5,6875569.3
Hona,2020,1,495732,6879787.5
Hona,2015,2,422113,6920113.333333333
Hona,2015,1,408813.5,6903655
Hona,2020,2,409311.5,6902847.5
Hona,2015,2,496179.25,7085976.5
Hona,2015,5,536896.4,7117415.2
Hona,2020,5,535217.6,7120248.4
Hane,2015,2,551847.6666666666,7077999.666666667
Hane,2015,2,571969,7083488
Hona,2015,3,476567,6947524
Hona,2020,6,474020.8333333333,6946054
Hona,2015,11,537179.9375,7023935.75
Hane,2015,7,543482.375,6971386.625
Hane,2020,13,681122.1875,7060038.5625
Hona,2015,8,525974.8181818182,7039896
Hona,2020,3,531631.4,7035587.2
Hona,2015,7,542787.1,7030411.4
Hona,2020,2,545403,7031152
Hona,2015,2,419785,6926022.5
Hona,2015,3,508079,7136124
Hona,2015,3,514815,7124397
Hona,2020,6,516570.125,7130474.75
Hona,2015,5,487001,6881440.6
Hane,2015,15,472941.94444444444,7066116.444444444
Hane,2015,8,460099.875,6966308.375
Hona,2015,3,532573.3333333334,7143367
Hona,2015,2,569881,7087455
Hona,2015,2,461955,6860842
Hona,2020,1,468264,6872620
Hona,2015,2,487448,6919989
Hona,2015,1,461162,6935207
Hona,2015,3,520941.6666666667,7075574.333333333
Hona,2020,2,534900,7079980.5
Hane,2015,3,475103.3333333333,7091943.666666667
Hane,2020,1,469924,7089693
Hane,2015,4,460610,7047890.25
Hane,2015,2,508905,6993174
Hane,2020,4,508257,6992054.333333333
Hane,2015,2,490873.5,7005949
Hona,2015,10,571543.4666666667,7005921.866666666
Hona,2020,4,572902.8,7001635
Hona,2015,2,472357.5,6923653.5
Hona,2015,8,524553.6363636364,7057379.545454546
Hona,2020,6,523479,7056519.5
Hona,2015,2,449858.6666666667,6984659.666666667
Hona,2015,2,570930.25,7087478.5
Hona,2020,4,574654.25,7090003.75
Hona,2015,2,422753.5,6881215
Hona,2020,4,423710,6883480
Hona,2015,2,542602.5,7126995
Hona,2015,2,403180,6889935.5
Hona,2017,8,389498.44444444444,6827289.666666667
Hane,2015,3,532502.3333333334,7109612.666666667
Hane,2015,6,496761.6,7074763.1
Hane,2015,2,473201,7058345.5
Hane,2015,1,513132.5,7108783
Hona,2015,9,474112.9,6939108.2
Hane,2015,4,547196,7109722.857142857
Hona,2015,6,578082.6666666666,6966427.5
Hona,2020,2,576421,6967890.5
Hona,2015,1,473603.3333333333,6861008.666666667
Hona,2015,5,517860.77777777775,7036304.888888889
Hona,2015,2,459663,7053954.5
Hona,2015,9,445541.1111111111,6963776.222222222
Hona,2015,3,459926.8,6974493.8
Hona,2020,7,460196,6980056.142857143
Hona,2015,4,442478.6,6895356.8
Hona,2020,3,438038.5,6895062
Hane,2015,2,469916,7097883
Hane,2015,8,476779.625,6933428.75
Hona,2015,2,399055,6957199.5
Hona,2020,1,402667,6973253
Hane,2015,2,534037,7133658
Hona,2015,3,418210,6925011.666666667
Hane,2015,4,435369.8,6893425.4
Hane,2015,2,408130,6907351
Hane,2015,2,513232.5,7095961
Hona,2015,4,510466.8,7118079.4
Hona,2020,2,501309.5,7113330
Hona,2015,4,478280.5,6889330.25
Hona,2020,10,478965.64285714284,6899070
Hane,2015,4,476365.5,7086730.666666667
Hona,2015,5,451129.44444444444,7164684.555555556
Hane,2015,5,553868,7018179.2
Hane,2015,3,432301.3333333333,6899707.666666667
Hona,2015,4,426784.8,6871774.4
Hona,2015,2,501837.5,7086740.5
Hona,2015,8,517982.1,7045689.6
Hona,2015,3,535492.75,6960511.75
Hona,2020,3,537288.75,6958320.25
Hane,2015,8,499383.44444444444,6976063
Hane,2020,4,555744,7043689.75
Hane,2015,2,432799.3333333333,6896476
Hona,2015,3,424939.6666666667,6913465.666666667
Hane,2015,7,541409.6666666666,7031006.416666667
Hona,2015,4,489068.6,7066168.6
Hane,2015,1,482665,7111871.5
Hona,2015,2,497299,7080410.5
Hona,2015,3,507916.6,7118975.2
Hona,2020,2,503905.5,7116915.5
Hane,2015,2,520002.5,7138418
Hane,2015,2,518524,7115609.5
Hane,2020,5,482275.8333333333,7080762.333333333
Hona,2015,4,487334,6908196.25
Hona,2020,3,478059.4,6912263.6
Hona,2015,2,518768.5,7110220
Hona,2020,2,521524.25,7108769
Hane,2015,1,496766,7124319
Hona,2015,9,459041.22222222225,7086652.888888889
Hane,2015,2,516885.5,7045234.5
Hona,2015,2,581102.5,7097143.5
Hane,2015,4,458029,7162344.25
Hona,2015,2,624197,7053139.5
Hona,2015,2,682052,7078098
Hona,2019,4,705563.1666666666,7071913.5
Hane,2015,4,492370.6,6943734.4
Hane,2017,7,540163.625,6881217
Hane,2015,2,483744.5,6887687
Hane,2017,2,572093,6871451.5
Hona,2015,3,424393.14285714284,6977160.571428572
Hona,2015,5,527014.4,7151229.4
