lon,lat
355040.34103774553,6924957.907498013
355040.34103774553,6933019.186035835
355040.34103774553,6941080.464573657
355040.34103774553,6949141.743111479
355040.34103774553,6957203.021649301
355040.34103774553,6965264.300187123
355040.34103774553,6973325.578724945
355040.34103774553,6981386.857262767
355040.34103774553,6997509.414338411
355040.34103774553,7005570.692876233
355040.34103774553,7013631.971414055
355040.34103774553,7021693.249951877
355040.34103774553,7029754.5284897
362498.24509967706,6908835.350422369
362498.24509967706,6916896.628960191
362498.24509967706,6924957.907498013
362498.24509967706,6933019.186035835
362498.24509967706,6941080.464573657
362498.24509967706,6949141.743111479
362498.24509967706,6957203.021649301
362498.24509967706,6965264.300187123
362498.24509967706,6973325.578724945
362498.24509967706,6981386.857262767
362498.24509967706,6989448.135800589
362498.24509967706,6997509.414338411
362498.24509967706,7005570.692876233
362498.24509967706,7013631.971414055
362498.24509967706,7021693.249951877
362498.24509967706,7029754.5284897
362498.24509967706,7037815.807027522
362498.24509967706,7045877.0855653435
362498.24509967706,7053938.364103165
369956.14916160866,6908835.350422369
369956.14916160866,6916896.628960191
369956.14916160866,6924957.907498013
369956.14916160866,6933019.186035835
369956.14916160866,6941080.464573657
369956.14916160866,6949141.743111479
369956.14916160866,6957203.021649301
369956.14916160866,6965264.300187123
369956.14916160866,6973325.578724945
369956.14916160866,6981386.857262767
369956.14916160866,6989448.135800589
369956.14916160866,6997509.414338411
369956.14916160866,7005570.692876233
369956.14916160866,7013631.971414055
369956.14916160866,7021693.249951877
369956.14916160866,7029754.5284897
369956.14916160866,7037815.807027522
369956.14916160866,7045877.0855653435
369956.14916160866,7053938.364103165
369956.14916160866,7061999.642640987
369956.14916160866,7070060.921178809
377414.0532235402,6908835.350422369
377414.0532235402,6916896.628960191
377414.0532235402,6924957.907498013
377414.0532235402,6933019.186035835
377414.0532235402,6941080.464573657
377414.0532235402,6949141.743111479
377414.0532235402,6957203.021649301
377414.0532235402,6965264.300187123
377414.0532235402,6973325.578724945
377414.0532235402,6981386.857262767
377414.0532235402,6989448.135800589
377414.0532235402,6997509.414338411
377414.0532235402,7005570.692876233
377414.0532235402,7013631.971414055
377414.0532235402,7021693.249951877
377414.0532235402,7029754.5284897
377414.0532235402,7037815.807027522
377414.0532235402,7045877.0855653435
377414.0532235402,7053938.364103165
377414.0532235402,7061999.642640987
377414.0532235402,7070060.921178809
377414.0532235402,7078122.199716631
384871.9572854718,6908835.350422369
384871.9572854718,6916896.628960191
384871.9572854718,6924957.907498013
384871.9572854718,6933019.186035835
384871.9572854718,6941080.464573657
384871.9572854718,6949141.743111479
384871.9572854718,6957203.021649301
384871.9572854718,6965264.300187123
384871.9572854718,6973325.578724945
384871.9572854718,6981386.857262767
384871.9572854718,6989448.135800589
384871.9572854718,6997509.414338411
384871.9572854718,7005570.692876233
384871.9572854718,7013631.971414055
384871.9572854718,7021693.249951877
384871.9572854718,7029754.5284897
384871.9572854718,7037815.807027522
384871.9572854718,7045877.0855653435
384871.9572854718,7053938.364103165
384871.9572854718,7061999.642640987
384871.9572854718,7070060.921178809
384871.9572854718,7078122.199716631
384871.9572854718,7086183.478254453
384871.9572854718,7094244.756792275
392329.8613474034,6892712.7933467245
392329.8613474034,6900774.071884547
392329.8613474034,6908835.350422369
392329.8613474034,6916896.628960191
392329.8613474034,6924957.907498013
392329.8613474034,6933019.186035835
392329.8613474034,6941080.464573657
392329.8613474034,6949141.743111479
392329.8613474034,6957203.021649301
392329.8613474034,6965264.300187123
392329.8613474034,6973325.578724945
392329.8613474034,6981386.857262767
392329.8613474034,6989448.135800589
392329.8613474034,6997509.414338411
392329.8613474034,7005570.692876233
392329.8613474034,7013631.971414055
392329.8613474034,7021693.249951877
392329.8613474034,7029754.5284897
392329.8613474034,7037815.807027522
392329.8613474034,7045877.0855653435
392329.8613474034,7053938.364103165
392329.8613474034,7061999.642640987
392329.8613474034,7070060.921178809
392329.8613474034,7078122.199716631
392329.8613474034,7086183.478254453
392329.8613474034,7094244.756792275
399787.7654093349,6884651.5148089025
399787.7654093349,6892712.7933467245
399787.7654093349,6900774.071884547
399787.7654093349,6908835.350422369
399787.7654093349,6916896.628960191
399787.7654093349,6924957.907498013
399787.7654093349,6933019.186035835
399787.7654093349,6941080.464573657
399787.7654093349,6949141.743111479
399787.7654093349,6957203.021649301
399787.7654093349,6965264.300187123
399787.7654093349,6973325.578724945
399787.7654093349,6981386.857262767
399787.7654093349,6989448.135800589
399787.7654093349,6997509.414338411
399787.7654093349,7005570.692876233
399787.7654093349,7013631.971414055
399787.7654093349,7021693.249951877
399787.7654093349,7029754.5284897
399787.7654093349,7037815.807027522
399787.7654093349,7045877.0855653435
399787.7654093349,7053938.364103165
399787.7654093349,7061999.642640987
399787.7654093349,7070060.921178809
399787.7654093349,7078122.199716631
399787.7654093349,7086183.478254453
399787.7654093349,7094244.756792275
399787.7654093349,7102306.035330097
407245.6694712665,6868528.957733259
407245.6694712665,6884651.5148089025
407245.6694712665,6892712.7933467245
407245.6694712665,6900774.071884547
407245.6694712665,6908835.350422369
407245.6694712665,6916896.628960191
407245.6694712665,6924957.907498013
407245.6694712665,6933019.186035835
407245.6694712665,6941080.464573657
407245.6694712665,6949141.743111479
407245.6694712665,6957203.021649301
407245.6694712665,6965264.300187123
407245.6694712665,6973325.578724945
407245.6694712665,6981386.857262767
407245.6694712665,6989448.135800589
407245.6694712665,6997509.414338411
407245.6694712665,7005570.692876233
407245.6694712665,7013631.971414055
407245.6694712665,7021693.249951877
407245.6694712665,7029754.5284897
407245.6694712665,7037815.807027522
407245.6694712665,7045877.0855653435
407245.6694712665,7053938.364103165
407245.6694712665,7061999.642640987
407245.6694712665,7070060.921178809
407245.6694712665,7078122.199716631
407245.6694712665,7086183.478254453
407245.6694712665,7094244.756792275
407245.6694712665,7102306.035330097
414703.5735331981,6860467.679195437
414703.5735331981,6868528.957733259
414703.5735331981,6876590.236271081
414703.5735331981,6884651.5148089025
414703.5735331981,6892712.7933467245
414703.5735331981,6900774.071884547
414703.5735331981,6908835.350422369
414703.5735331981,6916896.628960191
414703.5735331981,6924957.907498013
414703.5735331981,6933019.186035835
414703.5735331981,6941080.464573657
414703.5735331981,6949141.743111479
414703.5735331981,6957203.021649301
414703.5735331981,6965264.300187123
414703.5735331981,6973325.578724945
414703.5735331981,6981386.857262767
414703.5735331981,6989448.135800589
414703.5735331981,6997509.414338411
414703.5735331981,7005570.692876233
414703.5735331981,7013631.971414055
414703.5735331981,7021693.249951877
414703.5735331981,7029754.5284897
414703.5735331981,7037815.807027522
414703.5735331981,7045877.0855653435
414703.5735331981,7053938.364103165
414703.5735331981,7061999.642640987
414703.5735331981,7070060.921178809
414703.5735331981,7078122.199716631
414703.5735331981,7086183.478254453
414703.5735331981,7094244.756792275
414703.5735331981,7102306.035330097
422161.47759512963,6844345.122119793
422161.47759512963,6852406.400657615
422161.47759512963,6860467.679195437
422161.47759512963,6868528.957733259
422161.47759512963,6876590.236271081
422161.47759512963,6884651.5148089025
422161.47759512963,6892712.7933467245
422161.47759512963,6900774.071884547
422161.47759512963,6908835.350422369
422161.47759512963,6916896.628960191
422161.47759512963,6924957.907498013
422161.47759512963,6933019.186035835
422161.47759512963,6941080.464573657
422161.47759512963,6949141.743111479
422161.47759512963,6957203.021649301
422161.47759512963,6965264.300187123
422161.47759512963,6973325.578724945
422161.47759512963,6981386.857262767
422161.47759512963,6989448.135800589
422161.47759512963,6997509.414338411
422161.47759512963,7005570.692876233
422161.47759512963,7013631.971414055
422161.47759512963,7021693.249951877
422161.47759512963,7029754.5284897
422161.47759512963,7037815.807027522
422161.47759512963,7045877.0855653435
422161.47759512963,7053938.364103165
422161.47759512963,7061999.642640987
422161.47759512963,7070060.921178809
422161.47759512963,7078122.199716631
422161.47759512963,7086183.478254453
422161.47759512963,7094244.756792275
422161.47759512963,7102306.035330097
429619.3816570612,6844345.122119793
429619.3816570612,6852406.400657615
429619.3816570612,6860467.679195437
429619.3816570612,6868528.957733259
429619.3816570612,6876590.236271081
429619.3816570612,6884651.5148089025
429619.3816570612,6892712.7933467245
429619.3816570612,6900774.071884547
429619.3816570612,6908835.350422369
429619.3816570612,6916896.628960191
429619.3816570612,6924957.907498013
429619.3816570612,6933019.186035835
429619.3816570612,6941080.464573657
429619.3816570612,6949141.743111479
429619.3816570612,6957203.021649301
429619.3816570612,6965264.300187123
429619.3816570612,6973325.578724945
429619.3816570612,6981386.857262767
429619.3816570612,6989448.135800589
429619.3816570612,6997509.414338411
429619.3816570612,7005570.692876233
429619.3816570612,7013631.971414055
429619.3816570612,7021693.249951877
429619.3816570612,7029754.5284897
429619.3816570612,7037815.807027522
429619.3816570612,7045877.0855653435
429619.3816570612,7053938.364103165
429619.3816570612,7061999.642640987
429619.3816570612,7070060.921178809
429619.3816570612,7078122.199716631
429619.3816570612,7086183.478254453
429619.3816570612,7094244.756792275
429619.3816570612,7102306.035330097
437077.28571899276,6844345.122119793
437077.28571899276,6852406.400657615
437077.28571899276,6860467.679195437
437077.28571899276,6868528.957733259
437077.28571899276,6876590.236271081
437077.28571899276,6884651.5148089025
437077.28571899276,6892712.7933467245
437077.28571899276,6900774.071884547
437077.28571899276,6908835.350422369
437077.28571899276,6916896.628960191
437077.28571899276,6924957.907498013
437077.28571899276,6933019.186035835
437077.28571899276,6941080.464573657
437077.28571899276,6949141.743111479
437077.28571899276,6957203.021649301
437077.28571899276,6965264.300187123
437077.28571899276,6973325.578724945
437077.28571899276,6981386.857262767
437077.28571899276,6989448.135800589
437077.28571899276,6997509.414338411
437077.28571899276,7005570.692876233
437077.28571899276,7013631.971414055
437077.28571899276,7021693.249951877
437077.28571899276,7029754.5284897
437077.28571899276,7037815.807027522
437077.28571899276,7045877.0855653435
437077.28571899276,7053938.364103165
437077.28571899276,7061999.642640987
437077.28571899276,7070060.921178809
437077.28571899276,7078122.199716631
437077.28571899276,7086183.478254453
437077.28571899276,7094244.756792275
437077.28571899276,7102306.035330097
444535.18978092435,6836283.843581971
444535.18978092435,6844345.122119793
444535.18978092435,6852406.400657615
444535.18978092435,6860467.679195437
444535.18978092435,6868528.957733259
444535.18978092435,6876590.236271081
444535.18978092435,6884651.5148089025
444535.18978092435,6892712.7933467245
444535.18978092435,6900774.071884547
444535.18978092435,6908835.350422369
444535.18978092435,6916896.628960191
444535.18978092435,6924957.907498013
444535.18978092435,6933019.186035835
444535.18978092435,6941080.464573657
444535.18978092435,6949141.743111479
444535.18978092435,6957203.021649301
444535.18978092435,6965264.300187123
444535.18978092435,6973325.578724945
444535.18978092435,6981386.857262767
444535.18978092435,6989448.135800589
444535.18978092435,6997509.414338411
444535.18978092435,7005570.692876233
444535.18978092435,7013631.971414055
444535.18978092435,7021693.249951877
444535.18978092435,7029754.5284897
444535.18978092435,7037815.807027522
444535.18978092435,7045877.0855653435
444535.18978092435,7053938.364103165
444535.18978092435,7061999.642640987
444535.18978092435,7070060.921178809
444535.18978092435,7078122.199716631
444535.18978092435,7086183.478254453
444535.18978092435,7094244.756792275
444535.18978092435,7158734.985094851
444535.18978092435,7166796.263632674
444535.18978092435,7174857.542170496
451993.0938428559,6836283.843581971
451993.0938428559,6844345.122119793
451993.0938428559,6852406.400657615
451993.0938428559,6860467.679195437
451993.0938428559,6868528.957733259
451993.0938428559,6876590.236271081
451993.0938428559,6884651.5148089025
451993.0938428559,6892712.7933467245
451993.0938428559,6900774.071884547
451993.0938428559,6908835.350422369
451993.0938428559,6916896.628960191
451993.0938428559,6924957.907498013
451993.0938428559,6933019.186035835
451993.0938428559,6941080.464573657
451993.0938428559,6949141.743111479
451993.0938428559,6957203.021649301
451993.0938428559,6965264.300187123
451993.0938428559,6973325.578724945
451993.0938428559,6981386.857262767
451993.0938428559,6989448.135800589
451993.0938428559,6997509.414338411
451993.0938428559,7005570.692876233
451993.0938428559,7013631.971414055
451993.0938428559,7021693.249951877
451993.0938428559,7029754.5284897
451993.0938428559,7037815.807027522
451993.0938428559,7045877.0855653435
451993.0938428559,7053938.364103165
451993.0938428559,7061999.642640987
451993.0938428559,7070060.921178809
451993.0938428559,7078122.199716631
451993.0938428559,7086183.478254453
451993.0938428559,7094244.756792275
451993.0938428559,7102306.035330097
451993.0938428559,7158734.985094851
451993.0938428559,7166796.263632674
451993.0938428559,7174857.542170496
451993.0938428559,7182918.820708318
451993.0938428559,7190980.09924614
459450.9979047875,6836283.843581971
459450.9979047875,6844345.122119793
459450.9979047875,6852406.400657615
459450.9979047875,6860467.679195437
459450.9979047875,6868528.957733259
459450.9979047875,6876590.236271081
459450.9979047875,6884651.5148089025
459450.9979047875,6892712.7933467245
459450.9979047875,6900774.071884547
459450.9979047875,6908835.350422369
459450.9979047875,6916896.628960191
459450.9979047875,6924957.907498013
459450.9979047875,6933019.186035835
459450.9979047875,6941080.464573657
459450.9979047875,6949141.743111479
459450.9979047875,6957203.021649301
459450.9979047875,6965264.300187123
459450.9979047875,6973325.578724945
459450.9979047875,6981386.857262767
459450.9979047875,6989448.135800589
459450.9979047875,6997509.414338411
459450.9979047875,7021693.249951877
459450.9979047875,7029754.5284897
459450.9979047875,7037815.807027522
459450.9979047875,7045877.0855653435
459450.9979047875,7053938.364103165
459450.9979047875,7061999.642640987
459450.9979047875,7070060.921178809
459450.9979047875,7078122.199716631
459450.9979047875,7086183.478254453
459450.9979047875,7094244.756792275
459450.9979047875,7102306.035330097
459450.9979047875,7110367.313867919
459450.9979047875,7118428.592405741
459450.9979047875,7126489.870943563
459450.9979047875,7134551.149481385
459450.9979047875,7142612.428019207
459450.9979047875,7150673.706557029
459450.9979047875,7158734.985094851
459450.9979047875,7166796.263632674
459450.9979047875,7174857.542170496
459450.9979047875,7182918.820708318
459450.9979047875,7190980.09924614
459450.9979047875,7199041.377783962
459450.9979047875,7207102.656321784
466908.9019667191,6836283.843581971
466908.9019667191,6844345.122119793
466908.9019667191,6852406.400657615
466908.9019667191,6860467.679195437
466908.9019667191,6868528.957733259
466908.9019667191,6876590.236271081
466908.9019667191,6884651.5148089025
466908.9019667191,6892712.7933467245
466908.9019667191,6900774.071884547
466908.9019667191,6908835.350422369
466908.9019667191,6916896.628960191
466908.9019667191,6924957.907498013
466908.9019667191,6933019.186035835
466908.9019667191,6941080.464573657
466908.9019667191,6949141.743111479
466908.9019667191,6957203.021649301
466908.9019667191,6965264.300187123
466908.9019667191,6973325.578724945
466908.9019667191,6981386.857262767
466908.9019667191,6989448.135800589
466908.9019667191,6997509.414338411
466908.9019667191,7021693.249951877
466908.9019667191,7029754.5284897
466908.9019667191,7037815.807027522
466908.9019667191,7045877.0855653435
466908.9019667191,7053938.364103165
466908.9019667191,7061999.642640987
466908.9019667191,7070060.921178809
466908.9019667191,7078122.199716631
466908.9019667191,7086183.478254453
466908.9019667191,7094244.756792275
466908.9019667191,7102306.035330097
466908.9019667191,7110367.313867919
466908.9019667191,7118428.592405741
466908.9019667191,7126489.870943563
466908.9019667191,7134551.149481385
466908.9019667191,7142612.428019207
466908.9019667191,7150673.706557029
466908.9019667191,7158734.985094851
466908.9019667191,7166796.263632674
466908.9019667191,7174857.542170496
466908.9019667191,7182918.820708318
466908.9019667191,7190980.09924614
466908.9019667191,7199041.377783962
466908.9019667191,7207102.656321784
466908.9019667191,7215163.9348596055
474366.8060286506,6844345.122119793
474366.8060286506,6852406.400657615
474366.8060286506,6860467.679195437
474366.8060286506,6868528.957733259
474366.8060286506,6876590.236271081
474366.8060286506,6884651.5148089025
474366.8060286506,6892712.7933467245
474366.8060286506,6900774.071884547
474366.8060286506,6908835.350422369
474366.8060286506,6916896.628960191
474366.8060286506,6924957.907498013
474366.8060286506,6933019.186035835
474366.8060286506,6941080.464573657
474366.8060286506,6949141.743111479
474366.8060286506,6957203.021649301
474366.8060286506,6965264.300187123
474366.8060286506,6989448.135800589
474366.8060286506,6997509.414338411
474366.8060286506,7013631.971414055
474366.8060286506,7021693.249951877
474366.8060286506,7029754.5284897
474366.8060286506,7037815.807027522
474366.8060286506,7045877.0855653435
474366.8060286506,7053938.364103165
474366.8060286506,7061999.642640987
474366.8060286506,7070060.921178809
474366.8060286506,7078122.199716631
474366.8060286506,7086183.478254453
474366.8060286506,7094244.756792275
474366.8060286506,7102306.035330097
474366.8060286506,7110367.313867919
474366.8060286506,7118428.592405741
474366.8060286506,7126489.870943563
474366.8060286506,7134551.149481385
474366.8060286506,7142612.428019207
474366.8060286506,7150673.706557029
474366.8060286506,7158734.985094851
474366.8060286506,7166796.263632674
474366.8060286506,7174857.542170496
474366.8060286506,7182918.820708318
474366.8060286506,7190980.09924614
474366.8060286506,7199041.377783962
474366.8060286506,7207102.656321784
474366.8060286506,7215163.9348596055
481824.7100905822,6868528.957733259
481824.7100905822,6876590.236271081
481824.7100905822,6884651.5148089025
481824.7100905822,6892712.7933467245
481824.7100905822,6900774.071884547
481824.7100905822,6908835.350422369
481824.7100905822,6916896.628960191
481824.7100905822,6924957.907498013
481824.7100905822,6933019.186035835
481824.7100905822,6941080.464573657
481824.7100905822,6949141.743111479
481824.7100905822,6957203.021649301
481824.7100905822,6965264.300187123
481824.7100905822,6973325.578724945
481824.7100905822,6981386.857262767
481824.7100905822,6989448.135800589
481824.7100905822,6997509.414338411
481824.7100905822,7005570.692876233
481824.7100905822,7013631.971414055
481824.7100905822,7021693.249951877
481824.7100905822,7029754.5284897
481824.7100905822,7037815.807027522
481824.7100905822,7045877.0855653435
481824.7100905822,7053938.364103165
481824.7100905822,7061999.642640987
481824.7100905822,7070060.921178809
481824.7100905822,7078122.199716631
481824.7100905822,7086183.478254453
481824.7100905822,7094244.756792275
481824.7100905822,7102306.035330097
481824.7100905822,7110367.313867919
481824.7100905822,7118428.592405741
481824.7100905822,7126489.870943563
481824.7100905822,7134551.149481385
481824.7100905822,7142612.428019207
481824.7100905822,7150673.706557029
481824.7100905822,7158734.985094851
481824.7100905822,7166796.263632674
481824.7100905822,7174857.542170496
481824.7100905822,7182918.820708318
481824.7100905822,7190980.09924614
481824.7100905822,7199041.377783962
481824.7100905822,7207102.656321784
489282.6141525138,6868528.957733259
489282.6141525138,6876590.236271081
489282.6141525138,6884651.5148089025
489282.6141525138,6892712.7933467245
489282.6141525138,6900774.071884547
489282.6141525138,6908835.350422369
489282.6141525138,6916896.628960191
489282.6141525138,6924957.907498013
489282.6141525138,6933019.186035835
